問題ID,問題文,選択肢,解答,解説
12,配列と比較した場合の連結リストの特徴に関する記述として，適切なものはどれか。,"要素を更新する場合，ポインタを順番にたどるだけなので，処理時間は短い。,
要素を削除する場合，削除した要素から後ろにあるすべての要素を前に移動するので，処理時間は長い。,
要素を参照する場合，ランダムにアクセスできるので，処理時間は短い。,
要素を挿入する場合，数個のポインタを書き換えるだけなので，処理時間は短い。",要素を挿入する場合，数個のポインタを書き換えるだけなので，処理時間は短い。,"配列との比較ですが、配列ではポインタをたどっていく必要がないためデータの更新や参照は高速です。
しかし配列への要素の挿入・削除の際には、位置が変化することになる対象要素すべてを移動しなければなりませんので、
数個の要素のポインタを付け替えるだけでできる連結リストのほうが高速に処理できます。
"
13,SDメモリカードの上位規格の一つであるSDXCの特徴として，適切なものはどれか。,"GPS，カメラ，無線LANアダプタなどの周辺機能をハードウェアとしてカードに搭載している。,
SDメモリカードの4分の1以下の小型サイズで，最大32Gバイトの容量をもつ。,
著作権保護技術としてAACSを採用し，従来のSDメモリカードよりもセキュリティが強化された。,
ファイルシステムにexFATを採用し，最大2Tバイトの容量に対応できる。",ファイルシステムにexFATを採用し，最大2Tバイトの容量に対応できる。,"SDXC(SD eXtended Capacity)は、2009年に策定された規格で、ファイルシステムに
exFATを採用することで記憶容量の上限を2Tバイトまで引き上げたものです。
また標準サイズのほかにMicroSDXCという小さいタイプもあります。"
14,"アジャイル開発で""イテレーション""を行う目的のうち，適切なものはどれか。","ソフトウェアに存在する顧客の要求との不一致を短いサイクルで解消したり，要求の変化に柔軟に対応したりする。,
タスクの実施状況を可視化して，いつでも確認できるようにする。,
ペアプログラミングのドライバとナビゲータを固定化させない。,
毎日決めた時刻にチームメンバが集まって開発の状況を共有し，問題が拡大したり，状況が悪化したりするのを避ける。",ソフトウェアに存在する顧客の要求との不一致を短いサイクルで解消したり，要求の変化に柔軟に対応したりする。,ソフトウェアに存在する顧客の要求との不一致を短いサイクルで解消したり，要求の変化に柔軟に対応したりする。
15,"AES-256で暗号化されていることが分かっている暗号文が与えられているとき，
ブルートフォース攻撃で鍵と解読した平文を得るまでに必要な試行回数の最大値はどれか。","256,
212?,
22??,
22??",22??,"鍵長256ビットということは、正しく平文に戻せる鍵は2256種類の中でいずれか1つということです。
最初から順番に試していき、最後の1回（22??回目）で一致した場合が最大の試行回数となるので、
正しい平文を得るまでに必要な試行回数の最大値は2256回となります。
なお、平均試行回数は「(22??＋1)／2≒22??回」になります。
"
16,ロックの粒度に関する説明のうち，適切なものはどれか。,"データを更新するときに，粒度を大きくすると，他のトランザクションの待ちが多くなり，全体のスループットが低下する。,
同一のデータを更新するトランザクション数が多いときに，粒度を大きくすると，同時実行できるトランザクション数が増える。,
表の全データを参照するときに，粒度を大きくすると，他のトランザクションのデータ参照を妨げないようにできる。,
粒度を大きくすると，含まれるデータ数が多くなるので，一つのトランザクションでかけるロックの個数が多くなる。",データを更新するときに，粒度を大きくすると，他のトランザクションの待ちが多くなり，全体のスループットが低下する。,"粒度が大きいということはロックをかける範囲が広いということです。
粒度が大きいと、その分だけ他のトランザクションのロック解除待ちが多くなるためスループットは低下します。"
17,"通信回線を使用したデータ伝送システムにM/M/1の待ち行列モデルを適用すると，平均回線待ち時間，平均伝送時間，回線利用率の関係は，次の式で表すことができる。
平均回線待ち時間＝平均伝送時間×回線利用率/1－回線利用率
回線利用率が0から徐々に増加していく場合，平均回線待ち時間が平均伝送時間よりも最初に長くなるのは，回線利用率が幾つを超えたときか。","0.4,
0.5,
0.6,
0.7",0.5,"平均回線待ち時間が平均伝送時間より長くなるには、回線利用率/1－回線利用率が1より大きくなることが条件です。
回線利用率/1－回線利用率に回線利用率を当てはめていくと、回線利用率が50％(0.5)のときにちょうど1になり、
50%よりも大きくなると1を超えて、平均回線待ち時間が平均伝送時間より長くなることがわかります。"
18,データベースの更新前や更新後の値を書き出して，データベースの更新記録として保存するファイルはどれか。,"ダンプファイル,
チェックポイントファイル,
バックアップファイル,
ログファイル",ログファイル,"トランザクション開始前とコミット後の状態を保存したファイルで、ロールバックや
ロールフォワードによって障害から復旧するときに用いられます。
ジャーナルファイルとも呼ばれます。
ログファイルによってデータべ―スの永続性が保たれています。
"
19,外部割込みが発生するものはどれか。,"仮想記憶管理での、主記憶に存在しないページへのアクセス,
システムコール命令の実行,
ゼロによる除算,
入出力動作の終了",入出力動作の終了,"内部割込み：
実行中のプログラムが原因で起こる割込み...プログラム割込み、SVC割込み、ページフォールト
外部割込み：
内部割込み以外の原因で起こる割込み...タイマ割込み、コンソール割込み、入出力割込み、機械チェック割込み"
20,フィードバック制御の説明として，適切なものはどれか。,"あらかじめ定められた順序で制御を行う。,
外乱の影響が出力に現れる前に制御を行う。,
出力結果と目標値とを比較して、一致するように制御を行う。,
出力結果を使用せず制御を行う。",出力結果の目標値と比較して、一致するように制御を行う。,"制御対象の現在の状態を定期的に測定し、その測定値を目標値に近づけるように
動作する自動制御方式です。室内の温度を一定に保つなどの自動制御システムで
多く用いられています。フィードバック制御では、外乱を検知せず、
その修正動作は目標値と測定値に影響が表れてからになります。"
21,エッジコンピューティングの説明として，最も適切なものはどれか。,"画面生成やデータ処理をクライアント側で実行することによって，Webアプリケーションソフトウェアの操作性や表現力を高めること
データが送信されてきたときだけ必要なサーバを立ち上げて，処理が終わり次第サーバを停止してリソースを解放すること
複数のサーバやPCを仮想化して統合することによって一つの高性能なコンピュータを作り上げ，並列処理によって処理能力を高めること
利用者や機器に取り付けられたセンサなどのデータ発生源に近い場所にあるサーバなどでデータを一次処理し，処理のリアルタイム性を高めること",利用者や機器に取り付けられたセンサなどのデータ発生源に近い場所にあるサーバなどでデータを一次処理し，処理のリアルタイム性を高めること,"処理装置をクラウド上に配置する従来の方式よりも端末と処理装置の距離が短縮されるので、アプリケーション処理の
低遅延化やネットワーク負荷の低減が期待でき、高いリアルタイム性が要求されるIoTに適した技術
として注目されています。"
22,3 次元グラフィックス処理におけるクリッピングの説明はどれか,"CG映像作成における最終段階として，物体のデータをディスプレイに描画できるように映像化する処理である。
画像表示領域にウィンドウを定義し，ウィンドウの外側を除去し，内側の見える部分だけを取り出す処理である。
スクリーンの画素数が有限であるために図形の境界近くに生じる，階段状のギザギザを目立たなくする処理である。
立体感を生じさせるために，物体の表面に陰影を付ける処理である。",画像表示領域にウィンドウを定義し，ウィンドウの外側を除去し，内側の見える部分だけを取り出す処理である。,"最終的な仕上りに影響を与えない余分なデータを省くことで、後工程で必要となる計算量を減らし、作業効率を
高めるために行われます。"
23,トランザクションが，データベースに対する更新処理を完全に行うか，全く処理し なかったかのように取り消すか，のどちらかの結果になることを保証する特性はどれか。,"一貫性(consistency)
原子性(atomicity)
耐久性(durability)
独立性(isolation)",原子性(atomicity),"トランザクションが分割できない単位であることを示す特性を原子性といいます。
DBMSでは、①コミットで全ての処理を確定する、②ロールバックで処理を全て巻き戻す、のいずれかの状態で
トランザクションが終了するように制御しており、これにより原子性が確保されています。"
24,ドライブバイダウンロード攻撃に該当するものはどれか。,"PCから物理的にハードディスクドライブを盗み出し，その中のデータをWebサイトで公開し，ダウンロードさせる。
電子メールの添付ファイルを開かせて，マルウェアに感染したPCのハードディスクドライブ内のファイルを暗号化し，元に戻すための鍵を攻撃者のサーバからダウンロードさせることと引換えに金銭を要求する。
利用者が悪意のあるWebサイトにアクセスしたときに，Webブラウザの脆弱性を悪用して利用者のPCをマルウェアに感染させる。
利用者に気付かれないように無償配布のソフトウェアに不正プログラムを混在させておき，利用者の操作によってPCにダウンロードさせ，インストールさせることでハードディスクドライブから個人情報を収集して攻撃者のサーバに送信する。",利用者が悪意のあるWebサイトにアクセスしたときに，Webブラウザの脆弱性を悪用して利用者のPCをマルウェアに感染させる。,"脆弱性のある利用環境だと、Webページを閲覧しただけでマルウェアの被害に遭うおそれがあります。
ドライブバイダウンロードは、単独で攻撃に使用されることもありますし、また標的型攻撃や水飲み場攻撃などで
補助的に使用されることもあります。"
25,"方程式f(x)=0の解の近似値を求めるアルゴリズムとして知られている
ニュートン方に関する記述として、適切なものはどれか。","y=f(x)の接線を利用して解の近似値を求めるものである。,
関数f(x)が解の付近で微分不可能であっても、解の近似値を求めることができる。,
異なる初期値を二つ与える必要がある。,
どのような初期値を与えても、必ず解の近似値が得られる。",y=f(x)の接線を利用して解の近似値を求めるものである。,"ニュートン法は、非線形関数の解を求めるために使用されている方法です。
接線の方程式を反復的に求める事によってf(x)=0となるxの値の近似値を得ます。"
26,ファジングに該当するものはどれか。,"サーバにFINパケットを送信し，サーバからの応答を観測して，稼働しているサービスを見つけ出す。
サーバのOSやアプリケーションソフトが生成したログやコマンド履歴などを解析して，ファイルサーバに保存されているファイルの改ざんを検知する。
ソフトウェアに，問題を引き起こしそうな多様なデータを入力し，挙動を監視して，脆弱性を見つけ出す。
ネットワーク上を流れるパケットを収集し，そのプロトコルヘッダやデータを解析して，あらかじめ登録された攻撃パターンと一致した場合は不正アクセスと判断する。",ソフトウェアに，問題を引き起こしそうな多様なデータを入力し，挙動を監視して，脆弱性を見つけ出す。,"ファジングは、ファズデータの生成、検査対象への送信、挙動の監視を自動で行うファジングツールと
呼ばれるソフトウェアを使用して行います。"
27,DRAM の特徴はどれか。,"書込み及び消去を一括又はブロック単位で行う。
データを保持するためのリフレッシュ操作又はアクセス操作が不要である。
電源が遮断された状態でも，記憶した情報を保持することができる。
メモリセル構造が単純なので高集積化することができ，ビット単価を安くできる。",メモリセル構造が単純なので高集積化することができ，ビット単価を安くできる。,。集積度を上げることが比較的簡単にできるためコンピュータの主記憶装置として使用されています。
28,"人間には読み取ることが可能でも，プログラムでは読み取ることが難しいという差異を利用して，
ゆがめたり一部を隠したりした画像から文字を判読させ入力させることで，人間以外による自動入力を排除する技術はどれか。","CAPTCHA,
QRコード,
短縮URL,
トラックバックping",CAPTCHA,"CAPTCHA(キャプチャ)は、チャレンジレスポンス型テストの一種で、認証の際に異なる歪んだ文字や
数字を表示し、書かれている文字を入力させる仕組みです。"
29,メッセージ認証符号におけるメッセージダイジェストの利用目的はどれか。,"メッセージが改ざんされていないことを確認する。,
メッセージの暗号化方式を確認する。,
メッセージの概要を確認する。,
メッセージの秘匿性を確保する。",メッセージが改ざんされていないことを確認する。,"メッセージ認証符号(Message Authentication Code：MAC)は、通信データが改ざんされていないかを
受信側で検査するために、通信データから生成する固定長のコード(メッセージダイジェスト)です。"
30,ICカードとPINを用いた利用者認証における適切な運用はどれか。,"ICカードによって個々の利用者を識別できるので，管理負荷を軽減するために全利用者に共通のPINを設定する。,
ICカード紛失時には，新たなICカードを発行し，PINを再設定した後で，紛失したICカードの失効処理を行う。,
PINには，ICカードの表面に刻印してある数字情報を組み合わせたものを設定する。,
PINは，ICカードには同封せず，別経路で利用者に知らせる。",PINは，ICカードには同封せず，別経路で利用者に知らせる。,"PINは「Personal Identification Number」の略で、クレジットカードやキャッシュカードなどの
ICカードの利用時に入力を求められる暗証番号のことです。利用時にはカードを所有していることと、
PINを知っていることの2つで「二要素認証」を行うことでカードの不正利用を防止する仕組みになっています。
PINが他人に知られるとなりすまし被害に遭うおそれがあるため、
推測が困難な文字列を設定するとともに秘密にして管理する必要があります。"
31,"情報の""完全性""を脅かす攻撃はどれか。","Webページの改ざん,
システム内に保管されているデータの不正コピー,
システムを過負荷状態にするDoS攻撃,
通信内容の盗聴",Webページの改ざん,"完全性（Integrity）は、情報セキュリティマネジメントで管理すべき要素の一つで、「情報の正確さ完全さ」を示す特性です。具体的には、情報に矛盾がなく完備され、最新であり、改ざん、破壊されていない状態で維持されている度合いをいいます。
機密性（Confidentiality）
許可されていないユーザやシステムに対して情報を使用させず、開示しない特性。許可された正規のユーザだけが情報にアクセスできる度合いを示す
可用性（Availability）
ユーザが要求したときにシステムが利用可能である特性。障害がなくシステムが正常に稼働し続けることの度合いを示す
"
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
